capital,id_zona,altura_sobre_nivel_del_mar,temperatura_media_anual,precipitacion_anual,profundidad_efectiva_suelo,aptitud
Leticia,0,1025,32,2968,39,marginalmente apto
Medellin,1,1052,43,1381,84,no apto
Arauca,2,972,23,1325,66,moderadamente apto
Barranquilla,3,693,22,2403,100,moderadamente apto
Cartagena,4,1021,39,3567,83,no apto
Tunja,5,1064,25,4018,69,moderadamente apto
Manizales,6,742,19,1767,47,marginalmente apto
Florencia,7,1095,22,3859,31,marginalmente apto
Yopal,8,951,19,4106,82,marginalmente apto
Popayan,9,833,35,2202,103,no apto
Valledupar,10,1074,17,3320,95,no apto
Quibdo,11,909,28,2136,83,moderadamente apto
Monteria,12,650,39,2356,82,no apto
Bogota,13,1331,19,3760,99,marginalmente apto
Inirida,14,705,34,2205,58,no apto
San Jose del Guaviare,15,747,43,1508,32,no apto
Neiva,16,938,37,2664,18,no apto
Rioacha,17,433,44,1766,59,no apto
Santa Marta,18,624,16,3907,21,no apto
Villavicencio,19,830,44,3753,24,no apto
Pasto,20,1255,24,1297,66,moderadamente apto
Cucuta,21,535,17,2671,38,no apto
Mocoa,22,1245,21,1831,45,marginalmente apto
Armenia,23,1168,30,2686,35,marginalmente apto
Pereira,24,1037,44,3209,17,no apto
San Andres,25,1368,38,1674,62,no apto
Bucaramanga,26,1362,35,2439,94,no apto
Sincelejo,27,1193,20,3905,98,marginalmente apto
Ibague,28,1192,16,1739,106,no apto
Cali,29,462,22,1974,73,moderadamente apto
Mitu,30,900,39,3835,101,no apto
Puerto Carreno,31,720,23,2097,29,marginalmente apto
Leticia,32,1386,27,3181,90,moderadamente apto
Medellin,33,373,29,2223,21,no apto
Arauca,34,1096,43,2311,35,no apto
Barranquilla,35,353,23,3938,86,moderadamente apto
Cartagena,36,1279,43,2856,26,no apto
Tunja,37,1282,17,2265,15,no apto
Manizales,38,478,29,3238,77,moderadamente apto
Florencia,39,1135,36,3344,64,no apto
Yopal,40,1098,43,3712,59,no apto
Popayan,41,510,19,2224,48,marginalmente apto
Valledupar,42,505,34,3506,43,no apto
Quibdo,43,727,17,3295,37,no apto
Monteria,44,450,27,3997,31,marginalmente apto
Bogota,45,767,20,3375,89,marginalmente apto
Inirida,46,681,31,1941,60,marginalmente apto
San Jose del Guaviare,47,1066,37,3708,82,no apto
Neiva,48,1102,24,2848,52,moderadamente apto
Rioacha,49,1226,37,2751,90,no apto
Santa Marta,50,1055,15,3117,88,no apto
Villavicencio,51,535,29,3630,57,moderadamente apto
Pasto,52,562,15,1704,67,no apto
Cucuta,53,1332,22,3811,76,moderadamente apto
Mocoa,54,619,26,3946,17,no apto
Armenia,55,622,27,3545,84,moderadamente apto
Pereira,56,747,15,3826,86,no apto
San Andres,57,467,37,3565,61,no apto
Bucaramanga,58,616,15,4171,21,no apto
Sincelejo,59,868,16,3930,15,no apto
Ibague,60,973,33,2919,72,no apto
Cali,61,981,29,1426,95,moderadamente apto
Mitu,62,1200,40,4163,79,no apto
Puerto Carreno,63,374,32,3254,60,marginalmente apto
Leticia,64,393,43,3062,24,no apto
Medellin,65,435,41,3903,70,no apto
Arauca,66,806,22,3263,80,moderadamente apto
Barranquilla,67,927,15,3339,40,no apto
Cartagena,68,967,33,3978,48,no apto
Tunja,69,1023,27,3127,81,moderadamente apto
Manizales,70,812,29,2860,81,moderadamente apto
Florencia,71,1370,43,2332,33,no apto
Yopal,72,394,24,2179,72,moderadamente apto
Popayan,73,1010,22,3563,106,moderadamente apto
Valledupar,74,1329,26,3726,40,marginalmente apto
Quibdo,75,1370,44,1517,25,no apto
Monteria,76,479,38,2417,81,no apto
Bogota,77,461,29,1325,51,moderadamente apto
Inirida,78,606,33,2457,50,no apto
San Jose del Guaviare,79,1286,40,4123,25,no apto
Neiva,80,511,30,3065,27,marginalmente apto
Rioacha,81,940,14,3678,66,no apto
Santa Marta,82,1303,27,2316,68,moderadamente apto
Villavicencio,83,474,18,2190,51,marginalmente apto
Pasto,84,1137,40,1103,21,no apto
Cucuta,85,1110,30,2305,93,moderadamente apto
Mocoa,86,1332,34,2262,70,no apto
Armenia,87,701,20,2520,90,marginalmente apto
Pereira,88,1123,35,3504,26,no apto
San Andres,89,1042,31,4164,62,marginalmente apto
Bucaramanga,90,1083,21,3701,40,marginalmente apto
Sincelejo,91,581,37,3722,58,no apto
Ibague,92,372,37,2084,40,no apto
Cali,93,1014,16,3015,101,no apto
Mitu,94,702,35,2498,75,no apto
Puerto Carreno,95,900,29,1982,38,marginalmente apto
Leticia,96,1312,30,3761,71,moderadamente apto
Medellin,97,1284,44,2571,56,no apto
Arauca,98,883,24,1253,47,marginalmente apto
Barranquilla,99,854,14,3819,45,no apto
Cartagena,100,1012,15,3800,45,no apto
Tunja,101,1260,30,2617,107,moderadamente apto
Manizales,102,865,36,1183,29,no apto
Florencia,103,599,42,3864,60,no apto
Yopal,104,356,39,3636,67,no apto
Popayan,105,765,22,1858,44,marginalmente apto
Valledupar,106,416,34,1455,36,no apto
Quibdo,107,1102,26,4192,86,moderadamente apto
Monteria,108,370,27,3611,84,moderadamente apto
Bogota,109,1356,16,1420,16,no apto
Inirida,110,947,33,1184,27,no apto
San Jose del Guaviare,111,942,40,2243,35,no apto
Neiva,112,1265,31,2260,55,marginalmente apto
Rioacha,113,1286,27,2348,34,marginalmente apto
Santa Marta,114,1104,17,4087,85,no apto
Villavicencio,115,673,15,1651,64,no apto
Pasto,116,633,40,3375,82,no apto
Cucuta,117,837,25,3189,90,moderadamente apto
Mocoa,118,469,43,2351,26,no apto
Armenia,119,1278,22,2035,51,moderadamente apto
Pereira,120,773,42,3439,59,no apto
San Andres,121,404,31,3737,100,marginalmente apto
Bucaramanga,122,742,23,1242,81,moderadamente apto
Sincelejo,123,624,30,3364,31,marginalmente apto
Ibague,124,396,44,2040,26,no apto
Cali,125,491,39,2714,21,no apto
Mitu,126,1356,14,1800,38,no apto
Puerto Carreno,127,439,42,2911,27,no apto
Leticia,128,772,26,3542,61,moderadamente apto
Medellin,129,363,19,2996,90,marginalmente apto
Arauca,130,968,16,4105,33,no apto
Barranquilla,131,588,36,2480,37,no apto
Cartagena,132,815,40,3352,37,no apto
Tunja,133,827,34,3533,84,no apto
Manizales,134,1219,24,2341,22,no apto
Florencia,135,356,41,2660,95,no apto
Yopal,136,893,44,3593,25,no apto
Popayan,137,504,14,3399,70,no apto
Valledupar,138,895,30,3800,33,marginalmente apto
Quibdo,139,1377,41,4054,101,no apto
Monteria,140,992,26,1971,88,moderadamente apto
Bogota,141,436,30,3459,109,moderadamente apto
Inirida,142,510,15,2459,71,no apto
San Jose del Guaviare,143,817,39,2723,30,no apto
Neiva,144,385,38,1133,30,no apto
Rioacha,145,950,28,3336,39,marginalmente apto
Santa Marta,146,738,35,3603,55,no apto
Villavicencio,147,662,25,2457,74,moderadamente apto
Pasto,148,572,26,3474,87,moderadamente apto
Cucuta,149,651,43,1719,80,no apto
Mocoa,150,434,44,2864,21,no apto
Armenia,151,1284,19,2155,94,marginalmente apto
Pereira,152,483,20,2478,65,marginalmente apto
San Andres,153,556,35,3674,15,no apto
Bucaramanga,154,850,32,1936,101,marginalmente apto
Sincelejo,155,1022,15,1434,30,no apto
Ibague,156,601,15,3007,84,no apto
Cali,157,896,39,1916,33,no apto
Mitu,158,636,44,1902,61,no apto
Puerto Carreno,159,1238,35,2184,38,no apto
Leticia,160,589,33,2615,105,no apto
Medellin,161,1030,44,2212,89,no apto
Arauca,162,778,29,1253,22,no apto
Barranquilla,163,781,21,3471,65,moderadamente apto
Cartagena,164,808,16,2314,105,no apto
Tunja,165,522,24,1891,81,moderadamente apto
Manizales,166,1087,44,1355,104,no apto
Florencia,167,777,14,1617,55,no apto
Yopal,168,620,24,1121,88,moderadamente apto
Popayan,169,659,21,2467,99,moderadamente apto
Valledupar,170,812,34,1485,61,no apto
Quibdo,171,730,43,1828,29,no apto
Monteria,172,1058,35,3795,38,no apto
Bogota,173,923,25,1771,32,marginalmente apto
Inirida,174,457,18,2289,76,marginalmente apto
San Jose del Guaviare,175,1351,24,1383,91,moderadamente apto
Neiva,176,1395,28,4105,89,moderadamente apto
Rioacha,177,1133,31,4079,106,marginalmente apto
Santa Marta,178,818,38,3279,38,no apto
Villavicencio,179,506,44,2261,77,no apto
Pasto,180,1227,23,1414,57,moderadamente apto
Cucuta,181,551,23,1746,57,moderadamente apto
Mocoa,182,906,40,4151,45,no apto
Armenia,183,547,42,2672,87,no apto
Pereira,184,1104,34,1863,84,no apto
San Andres,185,1236,26,3550,64,moderadamente apto
Bucaramanga,186,1187,32,1666,66,marginalmente apto
Sincelejo,187,399,14,3388,50,no apto
Ibague,188,1017,15,2966,78,no apto
Cali,189,802,43,3216,104,no apto
